video_id,frame_index,timestamp_seconds,readable,brightness,sharpness,reason
video-1,0,0.0,True,58.32414050443673,31.734684967312983,usable sample
video-1,409,17.043858520900322,True,77.0088119695216,46.3619859170703,usable sample
video-1,818,34.087717041800644,True,81.84089168595679,56.10231299156743,usable sample
video-1,1227,51.13157556270096,True,82.50663206500772,34.90502712007407,usable sample
video-1,1637,68.21710610932476,True,79.84299913194444,54.64545379759026,usable sample
video-1,2046,85.26096463022508,True,80.13040883005401,37.90826002545553,usable sample
video-1,2455,102.30482315112539,True,79.99991572627314,39.01126977225351,usable sample
video-1,2864,119.34868167202572,True,79.4179165461034,52.49936595629398,usable sample
video-1,3273,136.39254019292605,True,77.32391468942902,36.70604914097268,usable sample
video-1,3682,153.43639871382635,True,83.46424370659722,34.17002627963674,usable sample
video-1,4092,170.52192926045015,True,78.49406527295525,37.556326678009974,usable sample
video-1,4501,187.56578778135048,True,79.50953390239198,17.643526474187343,usable sample
video-1,4910,204.60964630225078,True,80.92896351755401,38.21137597779324,usable sample
video-1,5319,221.6535048231511,True,72.63938874421297,14.161707537515607,usable sample
video-1,5728,238.69736334405144,True,81.98337842399691,59.27881445879733,usable sample
video-1,6137,255.74122186495177,True,81.71726345486111,32.065800780494385,usable sample
video-1,6547,272.82675241157557,True,79.1913192033179,25.571790002871406,usable sample
video-1,6956,289.87061093247587,True,85.58338710455247,34.92726524364991,usable sample
video-1,7365,306.91446945337617,True,79.51592387635031,32.670216636868055,usable sample
video-1,7774,323.95832797427653,True,86.78580343364197,34.590899322551564,usable sample
video-10,0,0.0,True,124.50627688560957,59.01484965279451,usable sample
video-10,935,31.17245418565828,True,94.59523618344907,27.94533311518799,usable sample
video-10,1871,62.378247894509784,True,115.97779116030092,25.84067283165106,usable sample
video-10,2806,93.55070208016807,True,113.8867148919753,26.853422421084506,usable sample
video-10,3741,124.72315626582635,True,120.45168680073303,26.039395709997848,usable sample
video-10,4676,155.89561045148463,True,113.61177674093364,32.53622733094846,usable sample
video-10,5612,187.10140416033613,True,113.30153247974538,32.48343194966048,usable sample
video-10,6547,218.2738583459944,True,99.93676902488426,16.859308080878733,usable sample
video-10,7482,249.4463125316527,True,113.15238220968364,17.397399567146326,usable sample
video-10,8417,280.61876671731096,True,110.08800962094908,19.286651592190086,usable sample
video-10,9353,311.82456042616246,True,102.46485725308642,14.968240716401972,usable sample
video-10,10288,342.99701461182076,True,113.29425660686728,20.380815602934277,usable sample
video-10,11223,374.16946879747906,True,98.01165738329475,13.3043817478216,usable sample
video-10,12158,405.3419229831373,True,114.12409420814043,50.98149534412552,usable sample
video-10,13094,436.5477166919888,True,113.32268192997685,39.078872008740056,usable sample
video-10,14029,467.7201708776471,True,109.86479311342593,30.575753637362375,usable sample
video-10,14964,498.8926250633054,True,120.70818070023148,16.111637125863826,usable sample
video-10,15899,530.0650792489637,True,113.1608317660108,38.92670197937564,usable sample
video-10,16835,561.2708729578152,True,113.66952811535494,38.310493102524475,usable sample
video-10,17770,592.4433271434734,True,127.0950577498071,41.85970298301197,usable sample
video-2,0,0.0,True,97.40492778260031,177.85516010406397,usable sample
video-2,1046,43.58881303225374,True,106.14921887056327,144.3391763056625,usable sample
video-2,2093,87.21929796989204,True,107.12053831500772,139.24486098681152,usable sample
video-2,3139,130.80811100214578,True,110.32442165798611,68.24385078833099,usable sample
video-2,4186,174.43859593978408,True,88.27659119405864,53.89361243060563,usable sample
video-2,5232,218.02740897203782,True,101.42882378472223,154.80074772443052,usable sample
video-2,6279,261.65789390967615,True,109.00623022762346,162.4624980433864,usable sample
video-2,7325,305.24670694192986,True,100.3113166714892,176.14903380273046,usable sample
video-2,8372,348.87719187956816,True,109.92876675829476,159.04513140296413,usable sample
video-2,9418,392.4660049118219,True,109.32905116705247,116.88485351401316,usable sample
video-2,10465,436.0964898494602,True,100.44883355034722,96.96235711943245,usable sample
video-2,11511,479.68530288171394,True,89.41146906346451,148.70116295263975,usable sample
video-2,12558,523.3157878193523,True,92.47053891782407,77.48245248428151,usable sample
video-2,13604,566.904600851606,True,108.11432834201389,92.78549514715841,usable sample
video-2,14651,610.5350857892442,True,112.7037648292824,111.22329160487746,usable sample
video-2,15697,654.1238988214981,True,96.84445830922068,119.07954873159692,usable sample
video-2,16744,697.7543837591363,True,102.22886393229167,197.9285197220523,usable sample
video-2,17790,741.34319679139,True,93.19648316936728,135.8625925887524,usable sample
video-2,18837,784.9736817290284,True,84.27457236207562,146.0223356552752,usable sample
video-2,19883,828.5624947612821,True,106.10249734760802,109.9283260792978,usable sample
video-3,0,0.0,True,118.6669581886574,97.62701062565625,usable sample
video-3,620,20.71496310119603,True,104.43532057773919,108.58965398178897,usable sample
video-3,1241,41.463337433200444,True,100.68425238715278,90.13969905157985,usable sample
video-3,1861,62.17830053439647,True,116.42613715277778,15.113724073182276,usable sample
video-3,2482,82.92667486640089,True,118.50011827256944,80.0820198745492,usable sample
video-3,3102,103.64163796759692,True,104.25186149691358,80.99379880382384,usable sample
video-3,3723,124.39001229960132,True,114.81436547550155,56.76166412663992,usable sample
video-3,4343,145.10497540079734,True,98.55024402006173,97.97226548946189,usable sample
video-3,4963,165.8199385019934,True,110.6497617669753,89.63544776812059,usable sample
video-3,5584,186.5683128339978,True,114.55612907503858,58.11761958440382,usable sample
video-3,6204,207.28327593519384,True,111.18085997781635,22.242783073535993,usable sample
video-3,6825,228.03165026719824,True,107.86181845582561,24.640019289300106,usable sample
video-3,7445,248.74661336839426,True,105.61079861111111,15.088313921730855,usable sample
