frame_id,video_id,source_frame_index,timestamp_seconds,output_path,status,sharpness,duplicate_of
video-2__f019754__t823.200,video-2,19754,823.2,data\frames\video-2\frame_004117.png,selected,456.954096654637,
video-2__f019759__t823.400,video-2,19759,823.4,data\frames\video-2\frame_004118.png,selected,519.7815507339475,
video-2__f019764__t823.600,video-2,19764,823.6,data\frames\video-2\frame_004119.png,selected,457.9162854677365,
video-2__f019769__t823.800,video-2,19769,823.8,data\frames\video-2\frame_004120.png,selected,469.89068603143096,
video-2__f019774__t824.000,video-2,19774,824.0,data\frames\video-2\frame_004121.png,selected,453.07939254533915,
video-2__f019778__t824.200,video-2,19778,824.2,data\frames\video-2\frame_004122.png,selected,448.11485551297665,
video-2__f019783__t824.400,video-2,19783,824.4,data\frames\video-2\frame_004123.png,selected,471.15126444781083,
video-2__f019788__t824.600,video-2,19788,824.6,data\frames\video-2\frame_004124.png,selected,445.19701002257653,
video-2__f019793__t824.800,video-2,19793,824.8,data\frames\video-2\frame_004125.png,selected,469.05042503935124,
video-2__f019798__t825.000,video-2,19798,825.0,data\frames\video-2\frame_004126.png,selected,482.74842267400686,
video-2__f019802__t825.200,video-2,19802,825.2,data\frames\video-2\frame_004127.png,selected,378.64888658747077,
video-2__f019807__t825.400,video-2,19807,825.4,data\frames\video-2\frame_004128.png,selected,416.50498685995007,
video-2__f019812__t825.600,video-2,19812,825.6,data\frames\video-2\frame_004129.png,selected,403.8592182320117,
video-2__f019817__t825.800,video-2,19817,825.8,data\frames\video-2\frame_004130.png,selected,373.7357745104366,
video-2__f019822__t826.000,video-2,19822,826.0,data\frames\video-2\frame_004131.png,selected,358.2862233186578,
video-2__f019826__t826.200,video-2,19826,826.2,data\frames\video-2\frame_004132.png,selected,310.28915701972113,
video-2__f019831__t826.400,video-2,19831,826.4,data\frames\video-2\frame_004133.png,selected,311.5943532714413,
video-2__f019836__t826.600,video-2,19836,826.6,data\frames\video-2\frame_004134.png,selected,428.41279884013863,
video-2__f019841__t826.800,video-2,19841,826.8,data\frames\video-2\frame_004135.png,selected,330.6598203674787,
video-2__f019846__t827.000,video-2,19846,827.0,data\frames\video-2\frame_004136.png,selected,373.94048394023633,
video-2__f019850__t827.200,video-2,19850,827.2,data\frames\video-2\frame_004137.png,selected,359.5446922777244,
video-2__f019855__t827.400,video-2,19855,827.4,data\frames\video-2\frame_004138.png,selected,425.5302963139099,
video-2__f019860__t827.600,video-2,19860,827.6,data\frames\video-2\frame_004139.png,selected,392.457401872739,
video-2__f019865__t827.800,video-2,19865,827.8,data\frames\video-2\frame_004140.png,selected,345.0691596091161,
video-2__f019870__t828.000,video-2,19870,828.0,data\frames\video-2\frame_004141.png,selected,350.6623730471381,
video-2__f019874__t828.200,video-2,19874,828.2,data\frames\video-2\frame_004142.png,selected,366.4869848301657,
video-2__f019879__t828.400,video-2,19879,828.4,data\frames\video-2\frame_004143.png,selected,331.2073565454762,
video-3__f000000__t0.000,video-3,0,0.0,data\frames\video-3\frame_000001.png,selected,254.66227842917962,
video-3__f000006__t0.200,video-3,6,0.2,data\frames\video-3\frame_000002.png,selected,253.09517413138605,
video-3__f000012__t0.400,video-3,12,0.4,data\frames\video-3\frame_000003.png,selected,251.21980071026417,
video-3__f000018__t0.600,video-3,18,0.6,data\frames\video-3\frame_000004.png,selected,251.25324841335785,
video-3__f000024__t0.800,video-3,24,0.8,data\frames\video-3\frame_000005.png,selected,247.1752384768592,
video-3__f000030__t1.000,video-3,30,1.0,data\frames\video-3\frame_000006.png,selected,249.80811860826282,
video-3__f000036__t1.200,video-3,36,1.2,data\frames\video-3\frame_000007.png,selected,252.178898041447,
video-3__f000042__t1.400,video-3,42,1.4,data\frames\video-3\frame_000008.png,excluded_duplicate,254.43993351962646,video-3__f000036__t1.200
video-3__f000048__t1.600,video-3,48,1.6,data\frames\video-3\frame_000009.png,selected,255.72343008344373,
video-3__f000054__t1.800,video-3,54,1.8,data\frames\video-3\frame_000010.png,excluded_duplicate,262.0357980981561,video-3__f000048__t1.600
video-3__f000060__t2.000,video-3,60,2.0,data\frames\video-3\frame_000011.png,selected,262.01898741722107,
video-3__f000066__t2.200,video-3,66,2.2,data\frames\video-3\frame_000012.png,selected,262.34655736533955,
video-3__f000072__t2.400,video-3,72,2.4,data\frames\video-3\frame_000013.png,excluded_duplicate,264.71213744300195,video-3__f000066__t2.200
video-3__f000078__t2.600,video-3,78,2.6,data\frames\video-3\frame_000014.png,selected,266.303601913798,
video-3__f000084__t2.800,video-3,84,2.8,data\frames\video-3\frame_000015.png,excluded_duplicate,265.3024287112977,video-3__f000078__t2.600
video-3__f000090__t3.000,video-3,90,3.0,data\frames\video-3\frame_000016.png,selected,249.11707893988967,
video-3__f000096__t3.200,video-3,96,3.2,data\frames\video-3\frame_000017.png,selected,220.08393679278683,
video-3__f000102__t3.400,video-3,102,3.4,data\frames\video-3\frame_000018.png,selected,231.81271356105066,
video-3__f000108__t3.600,video-3,108,3.6,data\frames\video-3\frame_000019.png,selected,156.99618630276785,
video-3__f000114__t3.800,video-3,114,3.8,data\frames\video-3\frame_000020.png,selected,186.93532103185117,
video-3__f000120__t4.000,video-3,120,4.0,data\frames\video-3\frame_000021.png,selected,185.97345509628454,
video-3__f000126__t4.200,video-3,126,4.2,data\frames\video-3\frame_000022.png,selected,188.59465869249385,
video-3__f000132__t4.400,video-3,132,4.4,data\frames\video-3\frame_000023.png,selected,190.1416420272471,
video-3__f000138__t4.600,video-3,138,4.6,data\frames\video-3\frame_000024.png,selected,188.99234972397485,
video-3__f000144__t4.800,video-3,144,4.8,data\frames\video-3\frame_000025.png,selected,185.55600978926194,
video-3__f000150__t5.000,video-3,150,5.0,data\frames\video-3\frame_000026.png,selected,189.4259777477034,
video-3__f000156__t5.200,video-3,156,5.2,data\frames\video-3\frame_000027.png,excluded_duplicate,192.08784278891522,video-3__f000150__t5.000
video-3__f000162__t5.400,video-3,162,5.4,data\frames\video-3\frame_000028.png,selected,194.5592719176669,
video-3__f000168__t5.600,video-3,168,5.6,data\frames\video-3\frame_000029.png,selected,197.06692676186378,
video-3__f000174__t5.800,video-3,174,5.8,data\frames\video-3\frame_000030.png,excluded_duplicate,198.86163230695658,video-3__f000168__t5.600
video-3__f000180__t6.000,video-3,180,6.0,data\frames\video-3\frame_000031.png,selected,201.8696076468461,
video-3__f000186__t6.200,video-3,186,6.2,data\frames\video-3\frame_000032.png,excluded_duplicate,200.4898816610192,video-3__f000180__t6.000
video-3__f000192__t6.400,video-3,192,6.4,data\frames\video-3\frame_000033.png,selected,194.36742438978433,
video-3__f000198__t6.600,video-3,198,6.6,data\frames\video-3\frame_000034.png,selected,194.04489440811273,
video-3__f000204__t6.800,video-3,204,6.8,data\frames\video-3\frame_000035.png,selected,204.84083245124347,
video-3__f000210__t7.000,video-3,210,7.0,data\frames\video-3\frame_000036.png,selected,204.62150740398118,
video-3__f000215__t7.200,video-3,215,7.2,data\frames\video-3\frame_000037.png,selected,193.9412489577116,
video-3__f000221__t7.400,video-3,221,7.4,data\frames\video-3\frame_000038.png,selected,201.229687511507,
video-3__f000227__t7.600,video-3,227,7.6,data\frames\video-3\frame_000039.png,selected,206.8434244569069,
video-3__f000233__t7.800,video-3,233,7.8,data\frames\video-3\frame_000040.png,excluded_duplicate,203.84983315397008,video-3__f000227__t7.600
video-3__f000239__t8.000,video-3,239,8.0,data\frames\video-3\frame_000041.png,selected,211.82560827661257,
video-3__f000245__t8.200,video-3,245,8.2,data\frames\video-3\frame_000042.png,excluded_duplicate,207.8836456260839,video-3__f000239__t8.000
video-3__f000251__t8.400,video-3,251,8.4,data\frames\video-3\frame_000043.png,selected,207.66723509114465,
video-3__f000257__t8.600,video-3,257,8.6,data\frames\video-3\frame_000044.png,selected,200.2317367857897,
video-3__f000263__t8.800,video-3,263,8.8,data\frames\video-3\frame_000045.png,excluded_duplicate,197.6998087229828,video-3__f000257__t8.600
video-3__f000269__t9.000,video-3,269,9.0,data\frames\video-3\frame_000046.png,excluded_duplicate,198.0633477104575,video-3__f000257__t8.600
video-3__f000275__t9.200,video-3,275,9.2,data\frames\video-3\frame_000047.png,selected,198.78995752757712,
video-3__f000281__t9.400,video-3,281,9.4,data\frames\video-3\frame_000048.png,selected,185.7843624761351,
video-3__f000287__t9.600,video-3,287,9.6,data\frames\video-3\frame_000049.png,excluded_duplicate,194.7297632780708,video-3__f000281__t9.400
video-3__f000293__t9.800,video-3,293,9.8,data\frames\video-3\frame_000050.png,selected,198.0173606136699,
video-3__f000299__t10.000,video-3,299,10.0,data\frames\video-3\frame_000051.png,excluded_duplicate,199.56688070223655,video-3__f000293__t9.800
video-3__f000305__t10.200,video-3,305,10.2,data\frames\video-3\frame_000052.png,selected,202.2238355095004,
video-3__f000311__t10.400,video-3,311,10.4,data\frames\video-3\frame_000053.png,selected,207.26628949005664,
video-3__f000317__t10.600,video-3,317,10.6,data\frames\video-3\frame_000054.png,excluded_duplicate,213.34582968989827,video-3__f000311__t10.400
video-3__f000323__t10.800,video-3,323,10.8,data\frames\video-3\frame_000055.png,selected,215.61523437481605,
video-3__f000329__t11.000,video-3,329,11.0,data\frames\video-3\frame_000056.png,selected,216.04255488473507,
video-3__f000335__t11.200,video-3,335,11.2,data\frames\video-3\frame_000057.png,selected,214.14288233381544,
video-3__f000341__t11.400,video-3,341,11.4,data\frames\video-3\frame_000058.png,selected,199.01700048971875,
video-3__f000347__t11.600,video-3,347,11.6,data\frames\video-3\frame_000059.png,selected,180.22452058353358,
video-3__f000353__t11.800,video-3,353,11.8,data\frames\video-3\frame_000060.png,selected,164.70845179793275,
video-3__f000359__t12.000,video-3,359,12.0,data\frames\video-3\frame_000061.png,selected,179.8645655753804,
video-3__f000365__t12.200,video-3,365,12.2,data\frames\video-3\frame_000062.png,selected,215.6453739216574,
video-3__f000371__t12.400,video-3,371,12.4,data\frames\video-3\frame_000063.png,selected,213.44913444916406,
video-3__f000377__t12.600,video-3,377,12.6,data\frames\video-3\frame_000064.png,excluded_duplicate,218.92546125873923,video-3__f000371__t12.400
video-3__f000383__t12.800,video-3,383,12.8,data\frames\video-3\frame_000065.png,selected,232.76417307923606,
video-3__f000389__t13.000,video-3,389,13.0,data\frames\video-3\frame_000066.png,selected,176.95658199857044,
video-3__f000395__t13.200,video-3,395,13.2,data\frames\video-3\frame_000067.png,selected,172.87968432236417,
video-3__f000401__t13.400,video-3,401,13.4,data\frames\video-3\frame_000068.png,selected,122.85646524248114,
video-3__f000407__t13.600,video-3,407,13.6,data\frames\video-3\frame_000069.png,selected,99.50472638300724,
video-3__f000413__t13.800,video-3,413,13.8,data\frames\video-3\frame_000070.png,selected,159.67512639363608,
video-3__f000419__t14.000,video-3,419,14.0,data\frames\video-3\frame_000071.png,selected,179.317432237996,
video-3__f000425__t14.200,video-3,425,14.2,data\frames\video-3\frame_000072.png,selected,142.71166290834915,
video-3__f000431__t14.400,video-3,431,14.4,data\frames\video-3\frame_000073.png,selected,105.96176821945441,
video-3__f000437__t14.600,video-3,437,14.6,data\frames\video-3\frame_000074.png,selected,159.02201305201027,
video-3__f000443__t14.800,video-3,443,14.8,data\frames\video-3\frame_000075.png,selected,168.7520683892991,
video-3__f000449__t15.000,video-3,449,15.0,data\frames\video-3\frame_000076.png,selected,95.64419216579861,
video-3__f000455__t15.200,video-3,455,15.2,data\frames\video-3\frame_000077.png,selected,107.67816838787661,
video-3__f000461__t15.400,video-3,461,15.4,data\frames\video-3\frame_000078.png,selected,91.45796013425714,
video-3__f000467__t15.600,video-3,467,15.6,data\frames\video-3\frame_000079.png,selected,108.1574175004146,
video-3__f000473__t15.800,video-3,473,15.8,data\frames\video-3\frame_000080.png,selected,81.07144295465615,
video-3__f000479__t16.000,video-3,479,16.0,data\frames\video-3\frame_000081.png,selected,95.09255419763518,
video-3__f000485__t16.200,video-3,485,16.2,data\frames\video-3\frame_000082.png,selected,114.21974678792887,
video-3__f000491__t16.400,video-3,491,16.4,data\frames\video-3\frame_000083.png,selected,109.0442843656113,
video-3__f000497__t16.600,video-3,497,16.6,data\frames\video-3\frame_000084.png,selected,105.81569379232366,
video-3__f000503__t16.800,video-3,503,16.8,data\frames\video-3\frame_000085.png,selected,99.49395018135324,
video-3__f000509__t17.000,video-3,509,17.0,data\frames\video-3\frame_000086.png,selected,99.38245832901677,
video-3__f000515__t17.200,video-3,515,17.2,data\frames\video-3\frame_000087.png,excluded_duplicate,99.98363549469246,video-3__f000509__t17.000
video-3__f000521__t17.400,video-3,521,17.4,data\frames\video-3\frame_000088.png,selected,97.84903930716308,
video-3__f000527__t17.600,video-3,527,17.6,data\frames\video-3\frame_000089.png,selected,99.90116304927217,
video-3__f000533__t17.800,video-3,533,17.8,data\frames\video-3\frame_000090.png,selected,93.58333979818373,
video-3__f000539__t18.000,video-3,539,18.0,data\frames\video-3\frame_000091.png,selected,109.2164065833721,
video-3__f000545__t18.200,video-3,545,18.2,data\frames\video-3\frame_000092.png,selected,93.66889516949469,
video-3__f000551__t18.400,video-3,551,18.4,data\frames\video-3\frame_000093.png,selected,127.81176077615883,
video-3__f000557__t18.600,video-3,557,18.6,data\frames\video-3\frame_000094.png,selected,110.42883272800181,
video-3__f000563__t18.800,video-3,563,18.8,data\frames\video-3\frame_000095.png,selected,121.41919043876322,
video-3__f000569__t19.000,video-3,569,19.0,data\frames\video-3\frame_000096.png,selected,191.45509579883498,
video-3__f000575__t19.200,video-3,575,19.2,data\frames\video-3\frame_000097.png,selected,197.60514852441386,
video-3__f000581__t19.400,video-3,581,19.4,data\frames\video-3\frame_000098.png,selected,203.27850571233364,
video-3__f000587__t19.600,video-3,587,19.6,data\frames\video-3\frame_000099.png,selected,176.90439787543852,
video-3__f000593__t19.800,video-3,593,19.8,data\frames\video-3\frame_000100.png,selected,203.00198917914133,
video-3__f000599__t20.000,video-3,599,20.0,data\frames\video-3\frame_000101.png,excluded_duplicate,207.6081656975051,video-3__f000593__t19.800
video-3__f000605__t20.200,video-3,605,20.2,data\frames\video-3\frame_000102.png,selected,196.86838111166415,
video-3__f000611__t20.400,video-3,611,20.4,data\frames\video-3\frame_000103.png,excluded_duplicate,183.47729150081673,video-3__f000605__t20.200
video-3__f000617__t20.600,video-3,617,20.6,data\frames\video-3\frame_000104.png,selected,196.7631211269325,
video-3__f000623__t20.800,video-3,623,20.8,data\frames\video-3\frame_000105.png,selected,199.20822796924617,
video-3__f000629__t21.000,video-3,629,21.0,data\frames\video-3\frame_000106.png,selected,203.20820118983588,
video-3__f000635__t21.200,video-3,635,21.2,data\frames\video-3\frame_000107.png,excluded_duplicate,199.53142627668967,video-3__f000629__t21.000
video-3__f000641__t21.400,video-3,641,21.4,data\frames\video-3\frame_000108.png,selected,158.7578626692663,
video-3__f000646__t21.600,video-3,646,21.6,data\frames\video-3\frame_000109.png,selected,134.4719102581342,
video-3__f000652__t21.800,video-3,652,21.8,data\frames\video-3\frame_000110.png,selected,164.89175280224944,
video-3__f000658__t22.000,video-3,658,22.0,data\frames\video-3\frame_000111.png,selected,202.4571672556117,
video-3__f000664__t22.200,video-3,664,22.2,data\frames\video-3\frame_000112.png,selected,177.55701265065576,
video-3__f000670__t22.400,video-3,670,22.4,data\frames\video-3\frame_000113.png,selected,153.4055760299994,
video-3__f000676__t22.600,video-3,676,22.6,data\frames\video-3\frame_000114.png,selected,150.24638339173464,
video-3__f000682__t22.800,video-3,682,22.8,data\frames\video-3\frame_000115.png,selected,155.2232239216934,
video-3__f000688__t23.000,video-3,688,23.0,data\frames\video-3\frame_000116.png,selected,152.79890929254486,
video-3__f000694__t23.200,video-3,694,23.2,data\frames\video-3\frame_000117.png,selected,150.28941432175077,
video-3__f000700__t23.400,video-3,700,23.4,data\frames\video-3\frame_000118.png,selected,146.02920176585516,
video-3__f000706__t23.600,video-3,706,23.6,data\frames\video-3\frame_000119.png,selected,143.72108778573664,
video-3__f000712__t23.800,video-3,712,23.8,data\frames\video-3\frame_000120.png,selected,140.16875539885626,
video-3__f000718__t24.000,video-3,718,24.0,data\frames\video-3\frame_000121.png,excluded_duplicate,140.7068407005734,video-3__f000712__t23.800
video-3__f000724__t24.200,video-3,724,24.2,data\frames\video-3\frame_000122.png,excluded_duplicate,138.3800450754754,video-3__f000712__t23.800
